"Internal Sample Size","External Sample Size","Coefficient Name","Method","True Value","Avg Estimate","Empirical Standard Error","Empirical Relative Efficiency","Analytical Standard Error","Analytical Relative Efficiency","rMSE","Coverage (95% Nominal)","# Tilt Warnings"
1600,1600,"Slope","ET-WCLS-Equal",5,5.401,6.649,0.166,3.052,0.281,6.661,0.897,2
1600,1600,"Slope","ET-WCLS-Kron",5,5.086,1.357,0.814,1.066,0.805,1.36,0.938,2
1600,1600,"Slope","ET-WCLS",5,5.117,0.857,1.29,0.787,1.092,0.865,0.935,2
1600,1600,"Slope","DR-WCLS",5,5.121,0.892,1.239,0.829,1.036,0.9,0.94,2
1600,1600,"Slope","PET-WCLS",5,5.073,0.627,1.764,0.591,1.452,0.631,0.932,2
6400,6400,"Intercept","WCLS-Internal",-2,-2.008,0.364,1,0.376,1,0.364,0.963,0
6400,6400,"Intercept","WCLS-Pooled",-2,-0.503,0.211,1.722,0.224,1.68,1.512,0,0
6400,6400,"Intercept","P-WCLS-Internal",-2,-2.009,0.367,0.992,0.379,0.992,0.367,0.958,0
6400,6400,"Intercept","P-WCLS-Pooled",-2,-1.994,0.317,1.148,0.325,1.158,0.317,0.96,0
6400,6400,"Intercept","P-WCLS-Pooled-Obs",-2,-1.996,0.319,1.141,0.328,1.147,0.319,0.96,0
6400,6400,"Intercept","ET-WCLS-Equal",-2,-4.754,12.011,0.03,2.68,0.14,12.322,0.807,0
6400,6400,"Intercept","ET-WCLS-Kron",-2,-2.106,0.491,0.741,0.404,0.931,0.502,0.93,0
6400,6400,"Intercept","ET-WCLS",-2,-2.093,0.404,0.901,0.366,1.028,0.415,0.943,0
6400,6400,"Intercept","DR-WCLS",-2,-2.055,0.362,1.005,0.376,0.999,0.366,0.958,0
6400,6400,"Intercept","PET-WCLS",-2,-2.057,0.408,0.892,0.302,1.247,0.412,0.938,0
6400,6400,"Slope","WCLS-Internal",5,4.976,0.381,1,0.421,1,0.382,0.985,0
6400,6400,"Slope","WCLS-Pooled",5,3.481,0.23,1.657,0.242,1.74,1.536,0,0
6400,6400,"Slope","P-WCLS-Internal",5,4.976,0.382,0.997,0.422,0.998,0.383,0.98,0
6400,6400,"Slope","P-WCLS-Pooled",5,4.972,0.327,1.164,0.34,1.239,0.329,0.975,0
6400,6400,"Slope","P-WCLS-Pooled-Obs",5,4.976,0.331,1.15,0.352,1.195,0.332,0.973,0
6400,6400,"Slope","ET-WCLS-Equal",5,5.636,12.504,0.03,2.914,0.145,12.52,0.84,0
6400,6400,"Slope","ET-WCLS-Kron",5,5.029,0.641,0.595,0.482,0.873,0.641,0.943,0
6400,6400,"Slope","ET-WCLS",5,5.018,0.493,0.773,0.41,1.027,0.494,0.965,0
6400,6400,"Slope","DR-WCLS",5,4.987,0.38,1.004,0.428,0.985,0.38,0.98,0
6400,6400,"Slope","PET-WCLS",5,5.031,0.399,0.956,0.311,1.354,0.4,0.948,0
100,25,"Intercept","WCLS-Internal",-2,-2.071,2.911,1,2.775,1,2.912,0.953,0
100,25,"Intercept","WCLS-Pooled",-2,-1.414,2.463,1.182,2.352,1.18,2.531,0.955,0
100,25,"Intercept","P-WCLS-Internal",-2,-2.075,2.921,0.996,2.829,0.981,2.922,0.953,0
100,25,"Intercept","P-WCLS-Pooled",-2,-1.995,2.818,1.033,2.68,1.036,2.818,0.95,0
100,25,"Intercept","P-WCLS-Pooled-Obs",-2,-1.979,2.862,1.017,2.776,0.999,2.862,0.953,0
100,25,"Intercept","ET-WCLS-Equal",-2,-2.472,4.492,0.648,3.378,0.822,4.517,0.865,18
100,25,"Intercept","ET-WCLS-Kron",-2,-2.447,2.816,1.034,2.4,1.156,2.851,0.905,18
100,25,"Intercept","ET-WCLS",-2,-2.512,2.652,1.098,2.176,1.275,2.701,0.88,18
100,25,"Intercept","DR-WCLS",-2,-2.406,2.471,1.178,2.279,1.218,2.504,0.938,18
100,25,"Intercept","PET-WCLS",-2,-2.353,2.402,1.212,2.057,1.349,2.428,0.92,18
100,25,"Slope","WCLS-Internal",5,4.853,2.918,1,2.965,1,2.922,0.955,0
100,25,"Slope","WCLS-Pooled",5,4.298,2.414,1.209,2.493,1.189,2.514,0.955,0
100,25,"Slope","P-WCLS-Internal",5,4.852,2.924,0.998,3.025,0.98,2.927,0.958,0
100,25,"Slope","P-WCLS-Pooled",5,4.868,2.734,1.068,2.794,1.061,2.737,0.965,0
100,25,"Slope","P-WCLS-Pooled-Obs",5,4.848,2.744,1.064,3.073,0.965,2.748,0.98,0
100,25,"Slope","ET-WCLS-Equal",5,5.586,5.38,0.543,3.349,0.885,5.411,0.865,18
100,25,"Slope","ET-WCLS-Kron",5,5.097,2.987,0.977,2.614,1.134,2.988,0.915,18
100,25,"Slope","ET-WCLS",5,5.047,2.661,1.097,2.202,1.347,2.661,0.892,18
100,25,"Slope","DR-WCLS",5,5.142,2.54,1.149,2.365,1.253,2.544,0.925,18
100,25,"Slope","PET-WCLS",5,5.088,2.37,1.231,2.08,1.425,2.372,0.902,18
100,400,"Intercept","WCLS-Internal",-2,-2.191,2.593,1,2.748,1,2.6,0.963,0
100,400,"Intercept","WCLS-Pooled",-2,0.373,0.894,2.901,0.891,3.083,2.536,0.218,0
100,400,"Intercept","P-WCLS-Internal",-2,-2.198,2.612,0.993,2.81,0.978,2.619,0.965,0
100,400,"Intercept","P-WCLS-Pooled",-2,-2.07,1.652,1.57,1.544,1.779,1.654,0.958,0
100,400,"Intercept","P-WCLS-Pooled-Obs",-2,-2.078,1.632,1.589,1.583,1.736,1.634,0.965,0
100,400,"Intercept","ET-WCLS-Equal",-2,-2.234,3.237,0.801,2.691,1.021,3.245,0.927,0
100,400,"Intercept","ET-WCLS-Kron",-2,-2.479,2.713,0.956,2.387,1.151,2.755,0.922,0
100,400,"Intercept","ET-WCLS",-2,-2.676,2.112,1.228,1.934,1.421,2.218,0.917,0
100,400,"Intercept","DR-WCLS",-2,-2.728,2.259,1.148,2.132,1.288,2.373,0.912,0
100,400,"Intercept","PET-WCLS",-2,-2.359,1.407,1.843,1.306,2.104,1.452,0.925,0
100,400,"Slope","WCLS-Internal",5,4.862,3.015,1,3.012,1,3.018,0.965,0
100,400,"Slope","WCLS-Pooled",5,2.556,0.909,3.318,0.896,3.362,2.608,0.21,0
100,400,"Slope","P-WCLS-Internal",5,4.86,3.016,1,3.066,0.983,3.019,0.968,0
100,400,"Slope","P-WCLS-Pooled",5,4.998,1.548,1.948,1.501,2.007,1.548,0.963,0
100,400,"Slope","P-WCLS-Pooled-Obs",5,5,1.519,1.985,1.565,1.925,1.519,0.968,0
100,400,"Slope","ET-WCLS-Equal",5,4.96,3.367,0.895,3.013,1,3.367,0.943,0
100,400,"Slope","ET-WCLS-Kron",5,4.947,3.276,0.92,2.876,1.047,3.277,0.94,0
